name
background
left root
    left Basic cell groups and regions
        left Cerebrum
            left Cerebral cortex
                left Cortical plate
                    left Isocortex
                        left Nucleus of the posterior commissure
                        left Olivary pretectal nucleus
                        left Posterior pretectal nucleus
                        left Retroparafascicular nucleus
                    left Cuneiform nucleus
                    left Red nucleus
                    left Oculomotor nucleus
                    left Medial accesory oculomotor nucleus
                    left Edinger-Westphal nucleus
                    left Trochlear nucleus
                    left Paratrochlear nucleus
                    left Ventral tegmental nucleus
                    left Anterior tegmental nucleus
                    left Lateral terminal nucleus of the accessory optic tract
                    left Dorsal terminal nucleus of the accessory optic tract
                    left Medial terminal nucleus of the accessory optic tract
"                left Midbrain, behavioral state related"
"                    left Substantia nigra, compact part"
                    left Pedunculopontine nucleus
                    left Midbrain raphe nuclei
                        left Interfascicular nucleus raphe
                        left Interpeduncular nucleus
"                            left Interpeduncular nucleus, rostral"
"                            left Interpeduncular nucleus, caudal"
"                            left Interpeduncular nucleus, apical"
"                            left Interpeduncular nucleus, lateral"
"                            left Interpeduncular nucleus, intermediate"
"                            left Interpeduncular nucleus, dorsomedial"
"                            left Interpeduncular nucleus, dorsolateral"
"                            left Interpeduncular nucleus, rostrolateral"
                        left Rostral linear nucleus raphe
                        left Central linear nucleus raphe
                        left Dorsal nucleus raphe
            left Hindbrain
                left Pons
"                    left Pons, sensory related"
                        left Nucleus of the lateral lemniscus
                        left Principal sensory nucleus of the trigeminal
                        left Parabrachial nucleus
                            left Koelliker-Fuse subnucleus
                        left Superior olivary complex
"                            left Superior olivary complex, periolivary region"
"                            left Superior olivary complex, medial part"
"                            left Superior olivary complex, lateral part"
"                    left Pons, motor related"
                        left Barrington's nucleus
                        left Dorsal tegmental nucleus
                        left Posterodorsal tegmental nucleus
                        left Pontine central gray
                        left Pontine gray
"                        left Pontine reticular nucleus, caudal part"
                        left Supragenual nucleus
                        left Supratrigeminal nucleus
                        left Tegmental reticular nucleus
                        left Motor nucleus of trigeminal
                        left Peritrigeminal zone
                        left Accessory trigeminal nucleus
                        left Parvicellular motor 5 nucleus
                        left Intertrigeminal nucleus
"                    left Pons, behavioral state related"
                        left Superior central nucleus raphe
                        left Locus ceruleus
                        left Laterodorsal tegmental nucleus
                        left Nucleus incertus
                        left Pontine reticular nucleus
                        left Nucleus raphe pontis
                        left Subceruleus nucleus
                        left Sublaterodorsal nucleus
                left Medulla
"                    left Medulla, sensory related"
                        left Area postrema
                        left Cochlear nuclei
                            left Dorsal cochlear nucleus
                            left Ventral cochlear nucleus
                        left Dorsal column nuclei
                            left Cuneate nucleus
                            left Gracile nucleus
                        left External cuneate nucleus
                        left Nucleus of the trapezoid body
                        left Nucleus of the solitary tract
"                        left Spinal nucleus of the trigeminal, caudal part"
"                        left Spinal nucleus of the trigeminal, interpolar part"
"                        left Spinal nucleus of the trigeminal, oral part"
                        left Paratrigeminal nucleus
"                    left Medulla, motor related"
                        left Abducens nucleus
                        left Facial motor nucleus
                        left Accessory facial motor nucleus
                        left Nucleus ambiguus
"                            left Nucleus ambiguus, dorsal division"
"                            left Nucleus ambiguus, ventral division"
                        left Dorsal motor nucleus of the vagus nerve
                        left Gigantocellular reticular nucleus
                        left Infracerebellar nucleus
                        left Inferior olivary complex
                        left Intermediate reticular nucleus
                        left Inferior salivatory nucleus
                        left Linear nucleus of the medulla
                        left Lateral reticular nucleus
"                            left Lateral reticular nucleus, magnocellular part"
"                            left Lateral reticular nucleus, parvicellular part"
                        left Magnocellular reticular nucleus
                        left Medullary reticular nucleus
"                            left Medullary reticular nucleus, dorsal part"
"                            left Medullary reticular nucleus, ventral part"
                        left Parvicellular reticular nucleus
                        left Parasolitary nucleus
                        left Paragigantocellular reticular nucleus
"                            left Paragigantocellular reticular nucleus, dorsal part"
"                            left Paragigantocellular reticular nucleus, lateral part"
                        left Perihypoglossal nuclei
                            left Nucleus of Roller
                            left Nucleus prepositus
                        left Parapyramidal nucleus
                        left Vestibular nuclei
                            left Lateral vestibular nucleus
                            left Medial vestibular nucleus
                            left Spinal vestibular nucleus
                            left Superior vestibular nucleus
                        left Nucleus x
                        left Hypoglossal nucleus
                        left Nucleus y
"                    left Medulla, behavioral state related"
                        left Nucleus raphe magnus
                        left Nucleus raphe pallidus
                        left Nucleus raphe obscurus
        left Cerebellum
            left Cerebellar cortex
                left Vermal regions
                    left Lingula (I)
                    left Central lobule
                        left Lobule II
                        left Lobule III
                    left Culmen
                        left Lobules IV-V
                    left Declive (VI)
                    left Folium-tuber vermis (VII)
                    left Pyramus (VIII)
                    left Uvula (IX)
                    left Nodulus (X)
                left Hemispheric regions
                    left Simple lobule
                    left Ansiform lobule
                        left Crus 1
                        left Crus 2
                    left Paramedian lobule
                    left Copula pyramidis
                    left Paraflocculus
                    left Flocculus
            left Cerebellar nuclei
                left Fastigial nucleus
                left Interposed nucleus
                left Dentate nucleus
                left Vestibulocerebellar nucleus
    left fiber tracts
        left cranial nerves
            left vomeronasal nerve
            left olfactory nerve
                left olfactory nerve layer of main olfactory bulb
"                left lateral olfactory tract, general"
"                    left lateral olfactory tract, body"
                    left dorsal limb
"                left anterior commissure, olfactory limb"
            left optic nerve
                left brachium of the superior colliculus
                left superior colliculus commissure
                left optic chiasm
                left optic tract
            left oculomotor nerve
                left medial longitudinal fascicle
                left posterior commissure
            left trochlear nerve
            left trigeminal nerve
                left motor root of the trigeminal nerve
                left sensory root of the trigeminal nerve
                    left spinal tract of the trigeminal nerve
            left facial nerve
                left genu of the facial nerve
            left vestibulocochlear nerve
                left vestibular nerve
                left cochlear nerve
                    left trapezoid body
                    left dorsal acoustic stria
                    left lateral lemniscus
                    left inferior colliculus commissure
                    left brachium of the inferior colliculus
            left vagus nerve
                left solitary tract
            left dorsal roots
                left cervicothalamic tract
                    left dorsal column
                        left cuneate fascicle
                    left medial lemniscus
        left cerebellum related fiber tracts
            left cerebellar commissure
            left cerebellar peduncles
                left superior cerebelar peduncles
                    left superior cerebellar peduncle decussation
                    left uncinate fascicle
                    left ventral spinocerebellar tract
                left middle cerebellar peduncle
                left inferior cerebellar peduncle
                    left dorsal spinocerebellar tract
            left arbor vitae
        left supra-callosal cerebral white matter
